company	partner	faculty_field	instrument	topic	date	url	note
三菱UFJ信託銀行	明治大学 商学部 / 成城大学 法学部	commerce, law	joint research + published report	企業と機関投資家等の対話実態と傾向	2024	https://prtimes.jp/main/html/rd/p/000000331.000036656.html	institutional investor theory, securities market theory, corporate governance, insurance theory, financial law
三菱UFJ信託銀行	北海道大学	economics	寄付講座 + joint research	サステイナビリティ包括連携、トランジション技術評価	2024	https://prtimes.jp/main/html/rd/p/000000335.000036656.html	endowed lecture in the economics faculty plus GX research centre joint research
明治安田総合研究所 / 明治安田生命	京都大学 大学院医学研究科 奥野恭史研究室	medicine, data science	joint research (expanding FY2026)	健康・医療ビッグデータ解析	2026	https://prtimes.jp/main/html/rd/p/000000021.000125501.html	insurer buying medical data science, not finance theory
アセットマネジメントOne (未来をはぐくむ研究所)	一橋大学	finance, economics	寄附講義, 2 consecutive years	産官学連携 special lecture	2026	https://prtimes.jp/main/html/rd/p/000000129.000138924.html	under a JFSA-Hitotsubashi partnership agreement - regulator is party to the frame
プルデンシャル生命保険	9+ universities	commerce (営業学)	寄付講座, since FY2015	営業学	2025	https://www.prudential.co.jp/company/social/donation_course.html	long-running multi-university programme, 2 new universities added 2025
楽天証券	behavioural finance professor	behavioural finance	co-authored book	間違いない資産づくり	2024	https://prtimes.jp/main/html/rd/p/000000627.000011088.html	credibility instrument without a research contract
株式会社Hokanグループ	Drucker School, Prof Jeremy Hunter	management	own research institute "hal"	企業成長と人の状態	2026-09-17	https://prtimes.jp/	insurtech, also a Fintech協会 member - closest analogue to the proposition
株式会社Facilo	中央大学	management	joint research	AI時代の仲介力	2026-09-10	https://prtimes.jp/	real estate brokerage, not finance
ブロードマインド株式会社	n/a	finance	産学連携 forum	金融共創フォーラム	2026-09-09	https://prtimes.jp/	financial services company convening a 産学連携 forum
株式会社neoAI	地銀・第二地銀	AI	共同研究会	第1回 neoAI 地銀・第二地銀共同研究会	2026-09-15	https://prtimes.jp/	AI vendor convening regional banks - research framing without a university
データビズラボ	早稲田大学 大学院経営管理研究科 客員教授ゼミ	management	joint research	データ可視化	2024	https://prtimes.jp/main/html/rd/p/000000024.000075268.html	small company, visiting professor - low barrier example
ZENKIGEN	神戸大学 大学院経営学研究科 服部泰宏教授	management	research centre established	エントリー・マネジメント研究教育センター	2024	https://prtimes.jp/main/html/rd/p/000000117.000035867.html	HR tech; named professor, dedicated centre
MILIZE	students / universities	financial engineering, data science	competition sponsorship	Fintech Data Championship (AI株価予測)	2023	https://prtimes.jp/main/html/rd/p/000000004.000034351.html	fintech company using an academic-flavoured competition as marketing
一橋大学 金融戦略・経営財務プログラム	multiple companies	finance	寄付講座・寄附講義 programme	finance-specific endowed lectures	ongoing	https://www.fs.hub.hit-u.ac.jp/education/endowed/	the established institutional home for finance-sector endowed teaching
生命保険協会	universities	finance education	寄附講座 programme	金融リテラシー教育	ongoing	https://www.seiho.or.jp/edu/members/	industry association as the buyer rather than one company
日本FP協会	universities	personal finance	寄附講座	パーソナルファイナンス講座	ongoing	https://www.jafp.or.jp/personal_finance/fresh/donation/	association-level programme
