name	name_ja	url	country	industry	size	captive	note
ABC少額短期保険	ABC少額短期保険（株）		JP	insurance	sme		no website listed
All Right少額短期保険	（株）All Right少額短期保険	https://all-right-ins.co.jp/	JP	insurance	sme		
au少額短期保険	au少額短期保険（株）	https://au-ssi.com/	JP	insurance	sme	KDDI	
AWPチケットガード少額短期保険	AWPチケットガード少額短期保険（株）	https://www.ticketguard.jp/	JP	insurance	sme	Allianz	
Aライフ	Aライフ（株）	https://alife-ssi.co.jp/	JP	insurance	sme		
Chubb少額短期保険	Chubb少額短期保険（株）	https://www2.chubb.com/chintai-jp/	JP	insurance	sme	Chubb	
Emyii少額短期保険	（株）Emyii少額短期保険	https://emyii.co.jp/	JP	insurance	sme		
e-Net少額短期保険	e-Net少額短期保険（株）	http://www.e-netcom.co.jp/	JP	insurance	sme		
EZ少額短期保険	EZ少額短期保険（株）	https://ezssi.co.jp/	JP	insurance	sme		
FPC	（株）FPC	http://www.fpc-pet.co.jp/	JP	insurance	sme		pet
GMO少額短期保険	GMO少額短期保険（株）	https://gmo-minihoken.com/	JP	insurance	sme	GMO	
i-SMAS少額短期保険	i-SMAS少額短期保険（株）	https://www.i-smas.co.jp/	JP	insurance	sme		
MICIN少額短期保険	MICIN少額短期保険（株）	https://micin-insurance.jp/	JP	insurance	sme		digital health
MSプラスワン少額短期保険	MSプラスワン少額短期保険（株）	https://www.ms-plus1.com/	JP	insurance	sme	MS&AD	
Mysurance	Mysurance（株）	https://www.mysurance.co.jp/	JP	insurance	sme	Sompo	
Next少額短期保険	Next少額短期保険（株）	http://www.next-ssi.co.jp/	JP	insurance	sme		
PLT少額短期保険	PLT少額短期保険（株）	https://plt-ssi.co.jp/	JP	insurance	sme		
SANKO少額短期保険	（株）SANKO少額短期保険	http://www.sanko-syougakutanki.co.jp/	JP	insurance	sme		
SBIいきいき少額短期保険	SBIいきいき少額短期保険（株）	http://www.i-sedai.com/	JP	insurance	sme	SBI	
SBI常口セーフティ少額短期保険	SBI常口セーフティ少額短期保険（株）	http://www.safesafe.co.jp/	JP	insurance	sme	SBI	
SBI日本少額短期保険	SBI日本少額短期保険（株）	https://www.n-ssi.co.jp/	JP	insurance	sme	SBI	
SBIプリズム少額短期保険	SBIプリズム少額短期保険（株）	https://www.sbiprism.co.jp/	JP	insurance	sme	SBI	
SBIペット少額短期保険	SBIペット少額短期保険（株）	https://www.sbipet-ssi.co.jp/	JP	insurance	sme	SBI	
SBIリスタ少額短期保険	SBIリスタ少額短期保険（株）	https://www.sbiresta.co.jp/	JP	insurance	sme	SBI	
SSIきみどり	SSIきみどり（株）	https://www.ssi-k.com/	JP	insurance	sme		
Tokio Marine X 少額短期保険	Tokio Marine X 少額短期保険（株）	https://www.tokiomarine-x.co.jp/	JP	insurance	sme	Tokio Marine	
USEN少額短期保険	USEN少額短期保険（株）	https://usen-ssi.co.jp/	JP	insurance	sme	USEN	
ZEN少額短期保険	（株）ZEN少額短期保険	https://zen-ins.co.jp/	JP	insurance	sme		
ZuttoRide少額短期保険	ZuttoRide少額短期保険（株）	https://zuttoride-ssi.co.jp/	JP	insurance	sme		
アイアル少額短期保険	アイアル少額短期保険（株）	http://www.air-ins.co.jp/	JP	insurance	sme		
愛グループ少額短期保険	（株）愛グループ少額短期保険	https://aig-shotan.com/	JP	insurance	sme		
あおい少額短期保険	あおい少額短期保険（株）	http://aoi-ssi.com/	JP	insurance	sme		
あおぞら少額短期保険	あおぞら少額短期保険（株）	https://assi.co.jp/	JP	insurance	sme		
アクア少額短期保険	アクア少額短期保険（株）	http://www.aqua-ins.com/	JP	insurance	sme		
あさひ少額短期保険	あさひ少額短期保険（株）	http://asahi-ssi.jp/	JP	insurance	sme		
旭化成ホームズ少額短期保険	旭化成ホームズ少額短期保険（株）	https://www.asahi-kasei.co.jp/shoutan/	JP	insurance	sme	旭化成	
アシロ少額短期保険	（株）アシロ少額短期保険	https://kailash.co.jp/	JP	insurance	sme		
あすか少額短期保険	あすか少額短期保険（株）	http://www.asuka-ssi.co.jp/	JP	insurance	sme		
あそしあ少額短期保険	（株）あそしあ少額短期保険	http://www.associa-insurance.com/	JP	insurance	sme		
アフラック少額短期保険	アフラック少額短期保険（株）	https://www.aflac-asi.co.jp/	JP	insurance	sme	Aflac	
あんしん少額短期保険	あんしん少額短期保険（株）	https://www.ansin-ssi.com/	JP	insurance	sme		
